Data,Location,High School Name,School Type,Others
8/26/15,"Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death
8/25/15,"Augusta, GA",Hornsby Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death
8/23/15,"Richmond, TX",William Velasquez Elementary,Elementary School,Gun fired but no one injured
8/8/15,"Paradise, TX",Paradise High School,High School,Gun fired but no one injured
8/8/15,"Wichita, KS",Wichita State,College or University,Attack on other persons(s) resulting in injury or death
7/27/15,"Gainesville, FL",University of Florida,College or University,Gun fired but no one injured
7/24/15,"Converse, TX",Elolf Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
7/5/15,"Dallas, TX",Coppell Middle School East,Middle School,Attack on other persons(s) resulting in injury or death
6/23/15,"Fort Calhoun, NE",Fort Calhoun Elementary School,Elementary School,Gun fired but no one injured
6/4/15,"Franklin, NC",South Macon Elementary School,Elementary School,Gun fired but no one injured
5/27/15,"Everglades City, FL",Everglades City School,Preschool,Attack on other persons(s) resulting in injury or death
5/24/15,"Flint, MI",Southwestern Classical Academy,High School,Attack on other persons(s) resulting in injury or death
5/20/15,"Robinson, TX",Robinson High School,High School,"Attempted or completed suicide, with no intent to injure other person"
5/12/15,"Tempe, AZ",Corona del Sol High School,High School,"Attempted or completed suicide, with no intent to injure other person"
5/5/15,"Conyers, GA",Conyers Middle School,Middle School,Gun fired but no one injured
5/4/15,"Orem, UT",Utah Valley Univeristy,College or University,Gun fired unintentionally resulting in injury or death
5/4/15,"Cleveland, OH",Willow Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
4/27/15,"Lacey, WA",North Thurston High School,High School,Gun fired but no one injured
4/22/15,"Las Vegas, NV",Ruthe Deskin Elementary School,Elementary School,Gun fired but no one injured
4/19/15,"Dover, DE",Delaware State University,College or University,Attack on other persons(s) resulting in injury or death
4/19/15,"Charlotte, NC",Johnson C. Smith University,College or University,Attack on other persons(s) resulting in injury or death
4/18/15,"Dover, DE",Delaware State University,College or University,Attack on other persons(s) resulting in injury or death
4/17/15,"Seguin, TX",Seguin High School,High School,"Attempted or completed suicide, with no intent to injure other person"
4/13/15,"Goldsboro, NC",Wayne Community College,College or University,Attack on other persons(s) resulting in injury or death
4/4/15,"Everett, WA",Everett Community College,College or University,Gun fired but no one injured
4/2/15,"Monaca, PA",Community College of Beaver County,College or University,Gun fired unintentionally resulting in injury or death
4/2/15,"Jackson, TN",Lane College,College or University,Attack on other persons(s) resulting in injury or death
2/23/15,"Daytona Beach, FL",Bethune-Cookman University,College or University,Attack on other persons(s) resulting in injury or death
2/15/15,"Little Rock, AR",Lawson Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
2/15/15,"Athens, GA",University of Georgia,College or University,Gun fired but no one injured
2/15/15,"Merced, CA",Tenaya Middle School,Middle School,Attack on other persons(s) resulting in injury or death
2/5/15,"Columbia, SC",University of South Carolina,College or University,Attack on other persons(s) resulting in injury or death
2/4/15,"Frederick, MD",Frederick High School,High School,Attack on other persons(s) resulting in injury or death
2/2/15,"Mankato, MN",Minnesota State University,College or University,"Attempted or completed suicide, with no intent to injure other person"
1/26/15,"Roseville, MN",Hand and Hand Montessori,Preschool,Attack on other persons(s) resulting in injury or death
1/23/15,"Hardeeville, SC",Royal Live Oaks Academy,K-12 School,Gun fired but no one injured
1/16/15,"Ocala, FL",Vanguard High School,High School,Attack on other persons(s) resulting in injury or death
1/15/15,"Milwaukee, WI",Wisconson Lutheran High School,High School,Attack on other persons(s) resulting in injury or death
12/17/14,"Waterville, ME",Benton Elementary School,Elementary School,"Attempted or completed suicide, with no intent to injure other person"
12/17/14,"Pittsburgh, PA",Sunnyside Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
12/5/14,"Claremore, OK",Rogers State University,College or University,Attack on other persons(s) resulting in injury or death
11/23/14,"Annapolis, MD",St Johns College,College or University,Attack on other persons(s) resulting in injury or death
11/20/14,"Tallahasse, FL",Florida State University,College or University,Attack on other persons(s) resulting in injury or death
10/24/14,"Marysville, WA",Marysville Pilchuck High School,High School,Attack on other persons(s) resulting in injury or death
10/21/14,"Memphis, TN",A. Maceo Walker Middle School,Middle School,Gun fired unintentionally resulting in injury or death
10/18/14,"Langston, OK",Langston University,College or University,Attack on other persons(s) resulting in injury or death
10/13/14,"Nashville, TN",Tennessee State University,College or University,Gun fired but no one injured
10/8/14,"Elizabeth City, NC",Elizabeth City State University,College or University,Gun fired but no one injured
10/3/14,"Fairburn, GA",Langston Hughes High School,High School,Attack on other persons(s) resulting in injury or death
9/30/14,"Albermarle, NC",Abermarle High school,High School,Attack on other persons(s) resulting in injury or death
9/30/14,"Louisville, KY",Fern Creek High School,High School,Attack on other persons(s) resulting in injury or death
9/29/14,"Terre Haute, IN",Indiana State University,College or University,Attack on other persons(s) resulting in injury or death
9/27/14,"Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death
9/11/14,"Taylorsville, UT",Westbrook Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death
9/10/14,"Lake Mary, FL",Greenwood Lakes Middle School,Elementary School,"Attempted or completed suicide, with no intent to injure other person"
9/5/14,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death
9/2/14,"Pocatello, ID",Idaho State University,College or University,Gun fired unintentionally resulting in injury or death
8/14/14,"Newport News, VA",Saunders Elementary,Elementary School,Attack on other persons(s) resulting in injury or death
8/13/14,"Fredrick, MD",Heather Ridge High school,High School,Gun fired but no one injured
6/27/14,"Miami, FL",University of Miami,College or University,Gun fired but no one injured
6/23/14,"Benton, MO",Kelly High School,High School,Gun fired unintentionally resulting in injury or death
6/10/14,"Troutdale, OR",Reynolds High School,High School,Attack on other persons(s) resulting in injury or death
6/5/14,"Seattle, WA",Seattle Pacific University,College or University,Attack on other persons(s) resulting in injury or death
5/21/14,"Milwaukee, WI",Clarke Street School Playground,Elementary School,Attack on other persons(s) resulting in injury or death
5/8/14,"Georgetown, KY",Georgetown College,College or University,Gun fired unintentionally resulting in injury or death
5/8/14,"Lawrenceville, GA",Georgia Gwinnett College,College or University,"Attempted or completed suicide, with no intent to injure other person"
5/5/14,"Augusta, GA",Paine College,College or University,Attack on other persons(s) resulting in injury or death
5/4/14,"Augusta, GA",Paine College,College or University,Attack on other persons(s) resulting in injury or death
5/3/14,"Everett, WA",Horizon Elementary,Elementary School,Attack on other persons(s) resulting in injury or death
5/2/14,"Milwaukee, WI",Marquette University,College or University,Attack on other persons(s) resulting in injury or death
4/21/14,"Griffith, IN",St. Mary Catholic School,Elementary School,Attack on other persons(s) resulting in injury or death
4/21/14,"Provo, UT",Provo High School,High School,"Attempted or completed suicide, with no intent to injure other person"
4/16/14,"Council Bluffs, IA",Iowa Western Community College,College or University,Attack on other persons(s) resulting in injury or death
4/11/14,"Detroit, MI",East English Village Preparatory Academy,High School,Attack on other persons(s) resulting in injury or death
4/3/14,"Kent, OH",Kent State University,College or University,Gun fired unintentionally resulting in injury or death
3/30/14,"Savannah, GA",Savannah State University,College or University,Gun fired but no one injured
3/23/14,"Newark, DE",University of Delaware,College or University,Gun fired but no one injured
3/8/14,"Oshkosh, WI",University of Wisconsin - Oshkosh,College or University,Gun fired but no one injured
3/7/14,"Tallulah, LA",Madison Parish High School,High School,Attack on other persons(s) resulting in injury or death
